feature,importance
worst perimeter,0.14086653677506822
worst area,0.13179436302828543
worst concave points,0.12225025722641625
worst radius,0.08486277224013059
mean concave points,0.07714543202043359
mean radius,0.06692601800892657
mean perimeter,0.057673844777223114
mean area,0.04607400839907517
mean concavity,0.044692762745062314
worst concavity,0.034881692195421525
area error,0.022342081340841483
worst compactness,0.019351956885337532
mean compactness,0.018353223414053252
worst texture,0.01734309158007379
worst smoothness,0.01715996565730776
worst symmetry,0.012573703179134865
mean texture,0.010278089561229841
radius error,0.010223293232111614
worst fractal dimension,0.008174691262896912
mean smoothness,0.008091477105090028
smoothness error,0.006760090838285383
perimeter error,0.006742799389120967
concavity error,0.005421140634849366
concave points error,0.005231235480922104
fractal dimension error,0.0051760726518207826
texture error,0.004491171891843809
compactness error,0.004271201913258486
mean fractal dimension,0.004006291320143436
mean symmetry,0.003678505215345383
symmetry error,0.003162230030290484
