feature,importance
worst concave points,0.3310853622327903
worst radius,0.22531571429652902
worst perimeter,0.20062284726145319
worst area,0.08418076614028067
worst texture,0.037191309734796854
mean concave points,0.01703608617096631
mean texture,0.015839364775744717
worst smoothness,0.013083146572567908
worst concavity,0.01187122382777548
worst symmetry,0.008493852062520749
area error,0.008308164666404437
mean concavity,0.00779483208438054
concavity error,0.006806120604955832
mean compactness,0.005889089944292075
smoothness error,0.0048317762028970415
worst compactness,0.003060753486262244
radius error,0.0028717696908950358
fractal dimension error,0.0024316620201736425
mean radius,0.002369538576060972
mean symmetry,0.002121819369090106
texture error,0.0016150445832473401
perimeter error,0.0014953831366655945
concave points error,0.001173687404711642
mean area,0.0011689116858696444
mean perimeter,0.0010667093383578089
compactness error,0.0007531809923452576
worst fractal dimension,0.0006895381992656137
mean smoothness,0.0006224159578166394
mean fractal dimension,0.00015336554405902044
symmetry error,5.656343682439658e-05
